Drug	Drug_id	Drug_type	Drug_type_id
Bacillus calmette-guerin substrain danish 1331 live antigen	C4519113	protein	null
BCG Vaccine	C0004886	protein	null
Vibrio cholerae CVD 103-HGR strain live antigen	C4291328	protein	null
Cholera Vaccine Live Oral	C4553341	protein	null
plitidepsin	C0388638	protein	null
muraglitazar	C1568490	protein	null
nateglinide	C0903898	protein	null
zanubrutinib	C4683810	protein	null
saxagliptin anhydrous	C2699273	protein	null
boceprevir	C1738934	protein	null
valbenazine	C4078701	protein	null
telaprevir	C1876229	protein	null
Bacillus calmette-guerin substrain russian BCG-I live antigen	C5448255	protein	null
mumps virus vaccine live, Jeryl Lynn strain	C2344347	protein	null
Bordetella pertussis toxoid vaccine, inactivated	C2725005	protein	null
Corifollitropin alfa	C2713522	protein	null
Recombinant human regular insulin	C1446598	protein	null
insulin, neutral	C0063657	protein	null
insulin human, rDNA origin	C1695970	protein	null
insulin lispro protamine, human	C0982221	protein	null
insulin lispro	C0293359	protein	null
Tick-borne encephalitis vaccine	C0593408	protein	null
tick-borne encephalitis purified antigen	C5558542	protein	null
Nuvaxovid	C5563867	protein	null
pertussis toxoid	C0070476	protein	null
Janssen COVID-19 Vaccine	C5575181	protein	null
teprotumumab-trbw	C5234029	protein	null
teprotumumab	C2987429	protein	null
Immunoglobulin G1, anti-(human insulin-like growth factor I receptor) (human monoclonal heavy chain), disulfide with human monoclonal light chain, dimer	C5201196	protein	null
satralizumab	C4726732	protein	null
satralizumab-mwge	C5399366	protein	null
Humanised anti-IL-6 receptor monoclonal antibody	C5401502	protein	null
follicle stimulating hormone, human, with HCG C-terminal peptide	C1098055	protein	null
insulin lispro-aabc	C5389884	protein	null
insulin glargine	C0907402	protein	null
insulin glargine-yfgn	C5550555	protein	null
insulin, pork	C0770206	protein	null
insulin, regular, pork	C0724601	protein	null
pramlintide	C0537551	protein	null
insulin aspart protamine, human	C1170011	protein	null
insulin aspart, human	C0123677	protein	null
insulin detemir	C0537270	protein	null
INSULIN,DETEMIR,HUMAN	C1815806	protein	null
insulin glulisine, human	C1313386	protein	null
NN344	C1957876	protein	null
albiglutide	C2607479	protein	null
lixisenatide	C2973895	protein	null
insulin degludec	C3491971	protein	null
Insulin peglispro	C4550895	protein	null
Insulin tregopil	C4550894	protein	null
terlipressin	C0145185	protein	null
semaglutide	C3885068	protein	null
tirzepatide	C5139934	protein	null
goserelin	C0120107	protein	null
Receptal	C0600174	protein	null
Etilamide	C1707062	protein	null
triptorelin	C0077275	protein	null
degarelix	C1455035	protein	null
buserelin	C0006456	protein	null
histrelin	C0121902	protein	null
salmon calcitonin	C0073994	protein	null
lisinopril anhydrous	C2827257	protein	null
icatibant	C0246269	protein	null
teduglutide	C1530889	protein	null
tiopronin	C0025405	protein	null
ancestim	C0538777	protein	null
enalaprilat anhydrous	C0886809	protein	null
enalaprilat	C0014027	protein	null
golodirsen	C5222004	protein	null
somatropin	C0169964	protein	null
nafarelin	C0064906	protein	null
pegfilgrastim-bmez	C5211091	protein	null
pegfilgrastim-jmdb	C4703816	protein	null
pegfilgrastim-apgf	C5389885	protein	null
pegloticase	C2350656	protein	null
Puricase	C2350657	protein	null
methyldopa anhydrous	C3714624	protein	null
Captopryl	C4255725	protein	null
pegfilgrastim	C1136535	protein	null
pegfilgrastim-cbqv	C4735048	protein	null
pegademase bovine	C0164674	protein	null
Egaptivon pegol	C4490515	protein	null
Peginterferon alfacon-1	C5139881	protein	null
GlycoPEG-GCSF	C5139922	protein	null
Eptacog alfa pegol (activated)	C4519170	protein	null
abicipar pegol	C4519646	protein	null
pegvaliase-pqpz	C4694429	protein	null
pegvaliase	C4519229	protein	null
elapegademase-lvlr	C4731736	protein	null
Paclitaxel trevatide	C2604057	protein	null
lipegfilgrastim	C3640212	protein	null
Lexaptepid pegol	C4519662	protein	null
Phenylase	C4703924	protein	null
elapegademase	C4731737	protein	null
palifermin	C0677829	protein	null
asparaginase	C0003993	protein	null
Escherichia coli asparaginase	C1269691	protein	null
lanoteplase	C0753753	protein	null
122320-05-2	C5833418	protein	null
vapreotide	C0164678	protein	null
sitimagene ceradenovec	C2354637	protein	null
alpha-glutamyltryptophan	C0526304	protein	null
filanesib	C4550884	protein	null
Endostatins	C0534628	protein	null
alanosine	C0051066	protein	null
Recombinant Human Endostatin	C1705207	protein	null
lanreotide	C0209211	protein	null
asparaginase Erwinia chrysanthemi (recombinant)-rywn	C5539923	protein	null
asparaginase Erwinia chrysanthemi	C3255208	protein	null
Erwinaze	C3248039	protein	null
Erwinase	C0591457	protein	null
Endostatin, N-terminal-MGGSHHHHH	C4519197	protein	null
Recombinant human endostatin protein	C4742157	protein	null
OBP-801	C3661318	protein	null
molgramostim	C0218633	protein	null
moxetumomab pasudotox-tdfk	C4731858	protein	null
moxetumomab pasudotox	C2717021	protein	null
dolastatin 10	C0082338	protein	null
H-Lys-Glu-Phe-Leu-His-Pro-Ser-Lys-Val-Asp-Leu-Pro-Arg-OH	C5834328	protein	null
olmutinib	C4301624	protein	null
tagraxofusp-erzs	C4746083	protein	null
tagraxofusp	C4746084	protein	null
Liposome encapsulated recombinant interleukin-2	C5834512	protein	null
Pegylated Recombinant Human Arginase I	C5432235	protein	null
BCT-100	C2981808	protein	null
enfortumab vedotin-ejfv	C5227850	protein	null
edodekin alfa	C3665495	protein	null
tebentafusp	C5139666	protein	null
enfortumab vedotin	C4519740	protein	null
sargramostim	C0216231	protein	null
liotrix	C0936106	protein	null
thyrotropin alfa	C2587204	protein	null
Hypertensin	C0947663	protein	null
metreleptin	C0961965	protein	null
Angiotensin II (human)	C0772301	protein	null
lypressin	C0024328	protein	null
recombinant methionyl human leptin	C0909862	protein	null
ziconotide	C0211011	protein	null
glucagon (rDNA)	C0876232	protein	null
glucagon, human	C0772088	protein	null
somapacitan	C4726770	protein	null
somapacitan-beco	C5401639	protein	null
lonapegsomatropin	C5421356	protein	null
Transconpeg hGH	C5432390	protein	null
somatrem	C0143083	protein	null
Somatropin pegol	C4727750	protein	null
polyethylene glycol-recombinant human growth hormone	C3254127	protein	null
lonapegsomatropin-tcgd	C5553578	protein	null
follitropin beta	C0060787	protein	null
follitropin alfa	C1268876	protein	null
follitropin delta	C4301617	protein	null
Follitropin gamma	C4490581	protein	null
abaloparatide	C4042342	protein	null
Parathormone (human recombinant)	C4255609	protein	null
Follitropin, beta subunit	C3266859	protein	null
Follitropin alfa/beta	C2224211	protein	null
Recombinant Follicle Stimulating Hormone	C0724588	protein	null
Folitropina delta	C4740844	protein	null
FSH, alpha Subunit	C4759809	protein	null
Recombinant parathyroid hormone	C1882913	protein	null
Angiotensin II (1-7) heptapeptide	C0051857	protein	null
teriparatide	C0070093	protein	null
saralasin	C0036193	protein	null
Anti-Gd2 igg3 monoclonal antibody 3F8 humanized	C4054758	protein	null
naxitamab-gqgk	C5423691	protein	null
humanized 3F8 anti-GD2 monoclonal antibody	C5227422	protein	null
naxitamab	C4733494	protein	null
dasiglucagon	C5139868	protein	null
carbetocin	C0054670	protein	null
NESIRITIDE RECOMBINANT	C1177218	protein	null
L-5-hydroxytryptophan	C4083155	protein	null
EvabotulinumtoxinA	C4721552	protein	null
pivagabine	C0619323	protein	null
interferon beta-1a	C0254119	protein	null
hyaluronidase, ovine	C1577331	protein	null
Letibotulinumtoxina	C5418435	protein	null
rasburicase	C0937932	protein	null
Recombinant interferon beta-1a	C0982234	protein	null
SNG001	C5443462	protein	null
valspodar	C0753474	protein	null
AMDRAY	C1519948	protein	null
pancrelipase protease	C2722896	protein	null
ferrous bisglycinate	C1721498	protein	null
substance P, Sar(9)-Met(O2)(11)-	C0075407	protein	null
(Sar(9))SP sulfone	C0220480	protein	null
pancrelipase	C0770343	protein	null
Pancreatinum	C4721558	protein	null
deslorelin	C0083220	protein	null
caspofungin	C0537894	protein	null
HUMAN CHOLECYSTOKININ-33	C5551393	protein	null
certoparin	C0592532	protein	null
muramyl tripeptide phosphatidylethanolamine	C0129341	protein	null
filgrastim-sndz	C3892863	protein	null
filgrastim	C0210630	protein	null
tbo-filgrastim	C3542463	protein	null
filgrastim-aafi	C4721554	protein	null
agalsidase beta	C1137427	protein	null
alpha-D-galactosidase enzyme	C0002268	protein	null
agalsidase alfa	C0962517	protein	null
lutetium Lu 177 dotatate	C3272344	protein	null
KL4 surfactant	C0385603	protein	null
ATI-02	C5399848	protein	null
Alveofact	C0210638	protein	null
enfuvirtide	C0537439	protein	null
glucarpidase	C0007072	protein	null
interferon alfa-2c	C0086477	protein	null
cabotegravir	C4310385	protein	null
Leimzucker	C4256149	protein	null
Agrostis gigantea pollen extract	C0938481	protein	null
Canadian bluegrass pollen extract	C2940183	protein	null
Italian rye grass pollen extract	C2939943	protein	null
regramostim	C0219461	protein	null
Colony-stimulating factor 2 (human clone pCSF-1 protein moiety reduced), glycoform GMC 89-107	C5139975	protein	null
hyaluronidase, human recombinant	C1720035	protein	null
hyaluronidase-fihj	C5383290	protein	null
hyaluronidase-zzxf	C5389886	protein	null
Secretin, Pig	C0886951	protein	null
Secretin synthetic porcine	C1659047	protein	null
secretin human, synthetic	C1659046	protein	null
interferon kappa	C1099168	protein	null
Heberon gamma	C5401678	protein	null
5-Methyltetrahydropteroyl monoglutamate	C4477200	protein	null
influenza A virus A/Norway/16606/2021 (H3N2) antigen	C5698588	protein	null
carbocysteine	C0006992	protein	null
Calcitonin (human synthetic)	C3652920	protein	null
human calcitonin	C0770558	protein	null
calaspargase pegol	C2699709	protein	null
Maxy G34	C2347460	protein	null
Interleukin-3 human (recombinant)	C4519899	protein	null
lenograstim	C0218640	protein	null
murepavadin	C5139728	protein	null
anidulafungin	C1142738	protein	null
aflibercept	C1134659	protein	null
C1 esterase inhibitor (recombinant)	C3195420	protein	null
calaspargase pegol-mknl	C4745457	protein	null
romiplostim	C2364481	protein	null
balugrastim	C3871462	protein	null
leridistim	C0919350	protein	null
norcisapride	C0648910	protein	null
immunoglobulin G1, anti-(human interleukin 1beta) (human clone ACZ885 heavy chain V region)	C5227748	protein	null
Saposin C	C0141547	protein	null
alglucosidase alfa	C1695579	protein	null
caseinomacropeptide	C0286762	protein	null
imiglucerase	C0291140	protein	null
taliglucerase alfa	C3273401	protein	null
GSK-J4	C3884593	protein	null
Myozyme	C1703294	protein	null
Lumizyme	C2828340	protein	null
Phenylalanine Ammonia-Lyase	C0031454	protein	null
isoleucyl-tyrosine	C1529589	protein	null
PHENYLALANINE,DL-	C0772277	protein	null
benzyloxycarbonyl-isoleucyl-glutamyl-threonyl-aspartic acid fluoromethyl ketone	C0911901	protein	null
alpha-methylphenylalanine	C0051422	protein	null
Recombinant Colony-Stimulating Factors	C0376561	protein	null
Phenylalanine supplementation	C0561928	protein	null
phenylalanylalanine	C0377632	protein	null
antihemorrhagic factor	C0052058	protein	null
Enzyme agent	C0360722	protein	null
Reverse Triiodothyronine	C0041017	protein	null
arginyl-glutamine	C3657851	protein	null
Ethionine	C0015023	protein	null
acetylleucine	C0256552	protein	null
3-tyrosine	C0047729	protein	null
Escherichia coli antibody	C0310969	protein	null
p-Fluorophenylalanine	C0030137	protein	null
N-acetyltryptophan	C0067790	protein	null
ACZ-885	C2830024	protein	null
Ilaris	C2718754	protein	null
Palynziq	C4694434	protein	null
bovine caseinoglycopeptide	C0526644	protein	null
BMN-165	C4742975	protein	null
citrin	C0069887	protein	null
Cosentyx	C3872092	protein	null
gp100 melanoma-associated antigen (209-217), human	C0672448	protein	null
gp100 Antigen	C0281722	protein	null
becaplermin	C0379135	protein	null
racemethionine	C0034504	protein	null
homocysteine thiolactone	C0062936	protein	null
homocysteine thiolactone, (S)-isomer	C0951764	protein	null
homocysteine thiolactone hydrochloride	C0951765	protein	null
homocysteine thiolactone perchlorate salt	C0122228	protein	null
homocysteine thiolactone perchlorate, (S)-isomer	C0951766	protein	null
homocysteine thiolactone hydrochloride, (+-)-isomer	C4549628	protein	null
felypressin	C0015777	protein	null
interleukin-11	C0083031	protein	null
Hirudins	C1451270	protein	null
Hirulog-1	C5690690	protein	null
bivalirudin trifluoroacetate	C4684933	protein	null
BG 8967	C0210056	protein	null
Angiomax	C0939677	protein	null
Serpin Superfamily	C0036763	protein	null
hirudin	C0019573	protein	null
CTB-001	C5227708	protein	null
Hirulog	C0210057	protein	null
thioredoxin peroxidase	C0633227	protein	null
thioretinaco	C1455153	protein	null
Capralense	C1448403	protein	null
Hexalense	C1448408	protein	null
Amicar	C0702045	protein	null
Epsamon	C0702043	protein	null
Caprocid	C0702044	protein	null
Caprolest	C1448405	protein	null
Hemocaprol	C1448407	protein	null
CY-116	C0702041	protein	null
Epsikapron	C0702042	protein	null
Caproamin	C1448404	protein	null
Inflectra	C4238109	protein	null
Remicade	C0723012	protein	null
Renflexis	C4490037	protein	null
Rhinathiol	C0947669	protein	null
Mukodin	C0700012	protein	null
Thiodril	C0947668	protein	null
5G1.1	C5201119	protein	null
Soliris	C1744173	protein	null
Alexion	C1959617	protein	null
Elizaria	C5557652	protein	null
Eel Calcitonin	C0013668	protein	null
ADI PEG20	C1328192	protein	null
Pegargiminase	C4721782	protein	null
BAX930	C4547518	protein	null
ornithine alpha-ketoglutarate	C0134110	protein	null
Hyatt-C	C0020199	protein	null
quinoline-val-asp(OMe)-CH2-OPH	C1172343	protein	null
pentosidine	C0070317	protein	null
Hepatitis B Vaccines	C2240392	protein	null
cysteine sulfinate	C0111710	protein	null
heptadecanoylcarnitine	C4278942	protein	null
cysteine sulfinic acid	C0056878	protein	null
Interferon alpha-1	C1098214	protein	null
Lisinopril Sulfate (1:2)	C0886655	protein	null
MK-521	C0701175	protein	null
Lisinopril Maleate (1:1)	C0886656	protein	null
Prinivil	C0701176	protein	null
Zestril	C0678140	protein	null
Humate-P	C0086428	protein	null
Xyntha	C2342443	protein	null
Kogenate	C0218184	protein	null
Hemofil	C0740130	protein	null
BAY 81-8973	C4310257	protein	null
Bioclate	C0718946	protein	null
Recombinate	C0218182	protein	null
Monoclate	C0376176	protein	null
Kovaltry	C4084378	protein	null
Kogenate FS	C1815180	protein	null
anticonvertin	C0103563	protein	null
lipoprotein-associated coagulation inhibitor	C0065061	protein	null
tissue factor inhibitor, hepatoma	C0145986	protein	null
TFPI-beta	C0753104	protein	null
antithromboplastin	C0103662	protein	null
TFI HepG2	C0145466	protein	null
Xa-dependent factor VIIa-TF inhibitor	C0148936	protein	null
Tissue Inhibitor of Metalloproteinases	C0145988	protein	null
Beano	C0947661	protein	null
Nexviazyme	C5550570	protein	null
Fabrazyme	C1137428	protein	null
Cerezyme	C0291139	protein	null
Tanganil	C0967151	protein	null
acetyl-DL-leucine	C0967150	protein	null
Lasdol	C0125321	protein	null
Replagal	C1130489	protein	null
Remestyp	C0896512	protein	null
Triglycyl-(8-lysine)vasopressin	C4704781	protein	null
Xenpozyme	C5703716	protein	null
olipudase alfa	C4278198	protein	null
TNF Receptor Type II-IgG Fusion Protein	C0539395	protein	null
TNFR-Fc Fusion Protein	C0539397	protein	null
Recombinant Human Dimeric TNF Receptor Type II-IgG Fusion Protein	C0539396	protein	null
Enbrel	C0720193	protein	null
Erelzi	C4704668	protein	null
KRN23	C3896830	protein	null
Crysvita	C4691485	protein	null
Zadaxin	C1515426	protein	null
Humira	C1171255	protein	null
Amjevita	C4704669	protein	null
Cyltezo	C4704670	protein	null
D2E7 Antibody	C4048611	protein	null
Elelyso	C3473073	protein	null
Tc 99m-Albumin	C0087067	protein	null
99mTc-Human Serum Albumin	C0087068	protein	null
99mTc-Albures	C0740185	protein	null
Ceredase	C0109081	protein	null
alglucerase	C0102139	protein	null
Slc6a8 protein, rat	C0170473	protein	null
SPINT2 protein, human	C0668013	protein	null
varicella zoster virus glycoprotein E	C0061673	protein	null
ornithylaspartate	C0069658	protein	null
Hepatitis B Antibodies	C0019164	protein	null
CaM kinase I activator	C0383017	protein	null
AMG531	C1505595	protein	null
Nplate	C2364485	protein	null
Iduronate Sulfatase	C0020814	protein	null
Crasnitin	C0699261	protein	null
Elspar	C0699262	protein	null
Asparaginase medac	C1257719	protein	null
Leunase	C1257720	protein	null
Paronal	C1257721	protein	null
Kidrolase	C5441916	protein	null
Vimizim	C3817377	protein	null
arginine aspartate, (DL)-isomer	C0953709	protein	null
arginine aspartate	C0052327	protein	null
AD17002	C5564654	protein	null
AD17010	C5564653	protein	null
KW 2228	C0950802	protein	null
nartograstim	C0287482	protein	null
BEL-114333	C5226596	protein	null
GSK-1550188	C5226598	protein	null
HGS-1006	C5226597	protein	null
Benlysta	C2980433	protein	null
Abcertin	C4278839	protein	null
ONO-4538	C4552118	protein	null
MDX-1106	C2346820	protein	null
Opdivo	C3872108	protein	null
BMS-936558	C4552119	protein	null
UQCC3 protein, human	C4042134	protein	null
sebelipase alfa	C4050579	protein	null
Kanuma	C4060049	protein	null
XMA 005.2	C3179524	protein	null
octaarginine	C1120729	protein	null
Ganglioside Hydrolysis Activator Proteins	C0061097	protein	null
Cerebroside Sulfate Activator Protein	C0109078	protein	null
Hexosaminidase A Activating Protein	C0121674	protein	null
Somatuline	C0245665	protein	null
angiopeptin	C0051846	protein	null
alpha-methylphenylalanine, (D-Phe)-isomer	C0952516	protein	null
alpha-methylphenylalanine, (DL-Phe)-isomer	C0952513	protein	null
alpha-methylphenylalanine, hydrochloride, (DL-Phe)-isomer	C0952515	protein	null
alpha-methylphenylalanine, hydrochloride, (D-Phe)-isomer	C0952514	protein	null
alpha-methylphenylalanine, (L-Phe)-isomer	C0952517	protein	null
alpha-methylphenylalanine, hydrochloride, (L-Phe)-isomer	C0952518	protein	null
8-chloro-cyclic adenosine monophosphate	C0050063	nucleotide	null
Cordycepin	C0056331	nucleotide	null
Adenosine Monophosphate	C0001465	nucleotide	null
adenosine receptor antagonist	C0815050	nucleotide	null
Adenosine	C0001443	nucleotide	null
defibrotide	C0057257	nucleotide	null
NADH	C0027289	nucleotide	null
Nicotinamide adenine dinucleotide (NAD)	C0027270	nucleotide	null
Adenosine Triphosphate	C0001480	nucleotide	null
Didanosine	C0012133	nucleotide	null
Diquafosol	C1955479	nucleotide	null
Zidovudine	C0043474	nucleotide	null
Ticagrelor	C1999375	nucleotide	null
5,6-dihydro-5-azacytidine	C0048906	nucleotide	null
2-Chloroadenosine	C0000275	nucleotide	null
Inosine	C0021528	nucleotide	null
Fluorouracil	C0016360	nucleotide	null
Citicoline	C0010725	nucleotide	null
Cyclic AMP	C0001455	nucleotide	null
N(6)-(4-amino-3-iodobenzyl)adenosine-5'-N-methyluronamide	C0289299	nucleotide	null
4-nitrobenzylthioinosine	C0048568	nucleotide	null
Bucladesine	C0012054	nucleotide	null
2',5'-oligoadenylate	C0045143	nucleotide	null
Adenosine-5'-(N-ethylcarboxamide)	C0050789	nucleotide	null
MRS 2179	C0674169	nucleotide	null
Bromodeoxyuridine	C0006233	nucleotide	null
calf thymus DNA	C0966503	nucleotide	null
cangrelor	C1121991	nucleotide	null
MRS 2279	C3179358	nucleotide	null
Azacitidine	C0004475	nucleotide	null
Pyrimidine analog	C0280039	nucleotide	null
thiazole-4-carboxamide adenine dinucleotide	C0076423	nucleotide	null
Purine Nucleosides	C0034136	nucleotide	null
Poly I-C	C0032414	nucleotide	null
Ganciclovir	C0017066	nucleotide	null
nebularine	C0068476	nucleotide	null
Adenine Nucleotides	C0001413	nucleotide	null
Tenofovir disoproxil fumarate	C1099776	nucleotide	null
Zalcitabine	C0012132	nucleotide	null
triciribine	C0077069	nucleotide	null
N(4)-oleylcytosine arabinoside	C0642228	nucleotide	null
capecitabine	C0671970	nucleotide	null
5'-methylthioadenosine	C0048819	nucleotide	null
telbivudine	C1453933	nucleotide	null
Inosine Pranobex	C0022230	nucleotide	null
Uracil	C0041917	nucleotide	null
diadenosine tetraphosphate	C0057684	nucleotide	null
Guanine derivatives acting on arteriolar smooth muscle	C3540046	nucleotide	null
AR C69931MX	C0763767	nucleotide	null
Brilinta	C3163571	nucleotide	null
CPG-ODN	C0914671	nucleotide	null
CpG ODN 1826	C0965351	nucleotide	null
mercaptopurine	C0000618	nucleotide	null
TT-62	C0172587	nucleotide	null
8-((4-chlorophenyl)thio)cyclic-3',5'-AMP	C0050001	nucleotide	null
AR C124910XX	C3254492	nucleotide	null
MG 98	C0796640	nucleotide	null
Ribavirin	C0035525	nucleotide	null
Guanosine	C0018330	nucleotide	null
6-methyluracil	C0049669	nucleotide	null
acadesine	C0051027	nucleotide	null
3'(2')-O-(4-azidobenzoyl)adenosine 5-triphosphate	C0670483	nucleotide	null
bropirimine	C0054150	nucleotide	null
Purine derivatives, peripheral vasodilators	C3653379	nucleotide	null
2-pentynoyl-coenzyme A	C0661137	nucleotide	null
Flavin Mononucleotide	C0016388	nucleotide	null
2'-CDg	C0091014	nucleotide	null
Nucleoside Analogs	C1579410	nucleotide	null
Floxuridine	C0016343	nucleotide	null
Guanosine 5'-O-(3-Thiotriphosphate)	C0079469	nucleotide	null
Adenylyl Imidodiphosphate	C0001506	nucleotide	null
dexelvucitabine	C0389490	nucleotide	null
decitabine	C0049065	nucleotide	null
Acyclovir	C0001367	nucleotide	null
5'-chloroacetamido-5'-deoxythymidine	C0626910	nucleotide	null
8-Bromo Cyclic Adenosine Monophosphate	C0000661	nucleotide	null
triacetyluridine	C0281351	nucleotide	null
Neofluor	C1564850	nucleotide	null
herring sperm DNA	C3486689	nucleotide	null
gemcitabine	C0045093	nucleotide	null
CYBERLINDNERA JADINII RNA	C3663395	nucleotide	null
fludarabine	C0059985	nucleotide	null
Adenosine Triphosphate, Magnesium Chloride	C0004221	nucleotide	null
Striadyne	C0701945	nucleotide	null
Atriphos	C0701946	nucleotide	null
SARS-CoV-2 (COVID-19) vaccine, mRNA-BNT162b2	C5398043	nucleotide	null
Comirnaty	C5448013	nucleotide	null
ISIS 486178	C4078707	nucleotide	null
ISIS-SMN(Rx)	C3886521	nucleotide	null
ISIS 396443	C4505503	nucleotide	null
ASO-10-27	C3886522	nucleotide	null
5-fluorouridine	C0049192	nucleotide	null
Sodium Inosinate	C0037519	nucleotide	null
inosinic acid	C0021544	nucleotide	null
Flavin Mononucleotide Monosodium Salt, Dihydrate	C1135740	nucleotide	null
Flavin Mononucleotide Monosodium Salt	C1135738	nucleotide	null
Flavin Mononucleotide Disodium Salt	C1135739	nucleotide	null
N6-(3-indolylethyl)adenosine	C4309750	nucleotide	null
JMF19071	C4310485	nucleotide	null
N6-(4-hydroxybenzyl)adenosine	C4308067	nucleotide	null
AZD 6140	C1608718	nucleotide	null
Brilique	C3179434	nucleotide	null
3-(7-((2-(3,4-Difluorophenyl)cyclopropyl)amino)-5-(propylthio)-3H-(1-3)-triazolo(4,5-d)pyrimidin-3-yl)-5-(2-hydroxyethoxy)cyclopentane-1,2-diol	C3254491	nucleotide	null
Uftoral	C1564291	nucleotide	null
tegafur	C0016778	nucleotide	null
FT-207	C0919259	nucleotide	null
Sunfural S	C0919260	nucleotide	null
Ftorafur	C0919257	nucleotide	null
Florafur	C0919258	nucleotide	null
Futraful	C0919261	nucleotide	null
Utefos	C1515256	nucleotide	null
Fluorouracil Potassium Salt	C0887255	nucleotide	null
Fluorouracil Monopotassium Salt	C0887257	nucleotide	null
Fluorouracil Monosodium Salt	C0887254	nucleotide	null
Efudex	C0699372	nucleotide	null
Fluoroplex	C0699375	nucleotide	null
Adrucil	C0699374	nucleotide	null
5-Fluorouracil-Biosyn	C1564842	nucleotide	null
Fluorouracilo Ferrer Far	C1564847	nucleotide	null
Fluorouracile Dakota	C1564848	nucleotide	null
Haemato-FU	C1564849	nucleotide	null
5-HU Hexal	C1564843	nucleotide	null
5-FU Lederle	C1564844	nucleotide	null
Fluorouracil-GRY	C1564846	nucleotide	null
5-FU Medac	C1564845	nucleotide	null
Onkofluor	C1564851	nucleotide	null
Fluracedyl	C1517230	nucleotide	null
Ribofluor	C1517232	nucleotide	null
Fluorouracil Mononitrate	C0887256	nucleotide	null
Fluoro-Uracile ICN	C5441799	nucleotide	null
Phosphaden	C0001448	nucleotide	null
adenosine phosphate disodium	C3256589	nucleotide	null
Spikevax	C5667132	nucleotide	null
CX-024414	C5417447	nucleotide	null
COVID-19 Vaccine Moderna	C5424056	nucleotide	null
2019-nCoV Vaccine mRNA-1273	C5244457	nucleotide	null
SARS-CoV-2 (COVID-19) vaccine, mRNA-1273	C5422751	nucleotide	null
TAK-919	C5566019	nucleotide	null
mRNA-1273.211	C5566020	nucleotide	null
M-1273	C5565491	nucleotide	null
2-hexynyladenosine-5'-N-ethylcarboxamide	C0527313	nucleotide	null
N-Bicyclo(2.2.1)hept-2-yl-5'-chloro-5'-deoxyadenosine	C5544971	nucleotide	null
5'-chloro-5'-deoxy-N6-(norborn-2-yl)adenosine	C4506898	nucleotide	null
5'-chloro-5'-deoxy-N6-(endo-norborn-2-yl)adenosine	C4506899	nucleotide	null
INS-365	C2350759	nucleotide	null
NSC-38297	C0878530	nucleotide	null
MYK-461	C4279313	nucleotide	null
mRNA Vaccines	C5544360	nucleotide	null
RNA Vaccines	C5828244	nucleotide	null
Self-Amplifying RNA Vaccine	C5828243	nucleotide	null
Trans Amplifying RNA Vaccine	C5828242	nucleotide	null
N(6)-methyl-2'-deoxyadenosine 3',5'-diphosphate	C0754781	nucleotide	null
Vaxzevria	C5667133	nucleotide	null
ChAdOx1 nCoV-19	C5383287	nucleotide	null
GS-829143	C5690290	nucleotide	null
GS-465124	C5690291	nucleotide	null
(13C3)-GS-5734	C5690289	nucleotide	null
GS-5734	C4279131	nucleotide	null
6-Mercaptopurine Monohydrate	C0886849	nucleotide	null
Mercaptopurina Wellcome	C1563962	nucleotide	null
Mecaptopurine Anhydrous	C4279938	nucleotide	null
Purimethol	C0917847	nucleotide	null
Purinethol	C0722911	nucleotide	null
BW 57-323H	C0729098	nucleotide	null
Leupurin	C0729100	nucleotide	null
propylthiouracil	C0033511	nucleotide	null
Defibrotide free acid (porcine mucosa)	C4703922	nucleotide	null
Co-Vidarabine	C0733530	nucleotide	null
clofarabine	C0092777	nucleotide	null
cytarabine liposome	C0795597	nucleotide	null
cladribine	C0092801	nucleotide	null
cytarabine	C0010711	nucleotide	null
mercaptopurine anhydrous	C1881785	nucleotide	null
nelarabine	C0907349	nucleotide	null
flucytosine	C0016278	nucleotide	null
trifluridine	C0040987	nucleotide	null
BREDININ	C0054034	nucleotide	null
doxifluridine	C0048808	nucleotide	null
abetimus	C1172637	nucleotide	null
mizoribine	C0128608	nucleotide	null
entecavir	C0971023	nucleotide	null
entecavir anhydrous	C2699999	nucleotide	null
peldesine	C0338278	nucleotide	null
O(6)-benzylguanine	C0083812	nucleotide	null
lobucavir	C0286536	nucleotide	null
penciclovir	C0164815	nucleotide	null
rilpivirine	C1566826	nucleotide	null
tenofovir alafenamide	C3713958	nucleotide	null
SARS-CoV-2 (COVID-19) vaccine, mRNA-BNT162b2 OMICRON (BA.4/BA.5)	C5699493	nucleotide	null
inotersen	C4731850	nucleotide	null
tenofovir disoproxil	C0963398	nucleotide	null
cidofovir	C0286079	nucleotide	null
cidofovir anhydrous	C2699210	nucleotide	null
bis(pivaloyloxymethyl)-9-(2-phosphonylmethoxyethyl)adenine	C0289521	nucleotide	null
adefovir	C0050175	nucleotide	null
tenofovir	C0384228	nucleotide	null
tenofovir anhydrous	C3848584	nucleotide	null
givosiran	C4688584	nucleotide	null
pegaptanib	C1531015	nucleotide	null
abacavir	C0663655	nucleotide	null
pegaptanib sodium	C1576729	nucleotide	null
sofosbuvir	C2976303	nucleotide	null
Isoprinosine	C0795760	nucleotide	null
lamivudine	C0209738	nucleotide	null
raltegravir	C1871526	nucleotide	null
stavudine	C0164662	nucleotide	null
valoctocogene roxaparvovec	C4726937	nucleotide	null
valomaciclovir	C1742773	nucleotide	null
uracil mustard	C0041920	nucleotide	null
