Disease	Disease_id	Therapeutic_area	Therapeutic_area_id	
Parastremmatic dwarfism	C1868616	Osteochondrodysplasias	C0029422	
Osteogenesis imperfecta, Levin type	C1833736	Osteochondrodysplasias	C0029422	
Osteoglophonic dwarfism	C0432283	Osteochondrodysplasias	C0029422	
Metachondromatosis	C0410530	Osteochondrodysplasias	C0029422	
Platyspondylic Lethal Skeletal Dysplasia, Torrance Type	C1835437	Osteochondrodysplasias	C0029422	
Acromicric Dysplasia	C0265287	Osteochondrodysplasias	C0029422	
Hypochondroplasia (disorder)	C0410529	Osteochondrodysplasias	C0029422	
Leri-Weill dyschondrosteosis	C0265309	Osteochondrodysplasias	C0029422	
Fibrochondrogenesis	C0265282	Osteochondrodysplasias	C0029422	
Desbuquois syndrome	C0432242	Osteochondrodysplasias	C0029422	
Chondrodysplasia, blomstrand type	C1859148	Osteochondrodysplasias	C0029422	
Omodysplasia	C4510897	Osteochondrodysplasias	C0029422	
Acampomelic Campomelic Dysplasia	C1861923	Osteochondrodysplasias	C0029422	
Anti-Basement Membrane Glomerulonephritis	C1332309	Anti-Glomerular Basement Membrane Disease	C0403529	
Other impaction of intestine	C0029640	Intestinal Obstruction	C0021843	
Intussusception	C0021933	Intestinal Obstruction	C0021843	
Intestinal Volvulus	C0042961	Intestinal Obstruction	C0021843	
Paralytic Ileus	C0030446	Intestinal Obstruction	C0021843	
Ileus	C1258215	Intestinal Obstruction	C0021843	
Froehlich's Syndrome	C0016724	Hypothalamic Diseases	C0020655	
Malignant neoplasm of uveal tract	C3665670	Uveal Diseases	C0042161	
Iris Diseases	C0022078	Uveal Diseases	C0042161	
Choroid Diseases	C0008521	Uveal Diseases	C0042161	
Uveitis	C0042164	Uveal Diseases	C0042161	
Glossitis	C0017675	Tongue Diseases	C0040409	
Hairy tongue	C0040414	Tongue Diseases	C0040409	
Hypertrophy of tongue papillae	C0392494	Tongue Diseases	C0040409	
Fissured tongue	C0040412	Tongue Diseases	C0040409	
Toxic nodular goiter	C0342127	Primary Hyperthyroidism	C3714618	
Toxic diffuse goiter without mention of thyrotoxic crisis or storm	C0154138	Primary Hyperthyroidism	C3714618	
THYROID HORMONE RESISTANCE, SELECTIVE PITUITARY	C1840364	Primary Hyperthyroidism	C3714618	
Other cataract	C0029531	Lens Diseases	C0023308	
Congenital aphakia	C0152422	Lens Diseases	C0023308	
Lens Subluxation	C0023316	Lens Diseases	C0023308	
Familial ectopia lentis	C2746069	Lens Diseases	C0023308	
Colonic Pseudo-Obstruction	C0009377	Colonic Diseases, Functional	C0009374	
Sciatic Neuropathy	C0149940	Lesion of Sciatic Nerve	C0154748	
Encephalitozoonosis	C0085412	Microsporidiosis	C0085407	
Periodontitis	C0031099	Periodontal Diseases	C0031090	
Gingival Diseases	C0017563	Periodontal Diseases	C0031090	
Hypotrichosis	C0020678	Hair Diseases	C0018500	
Folliculitis	C0016436	Hair Diseases	C0018500	
Hypertrichosis	C0020555	Hair Diseases	C0018500	
Monilethrix	C0546966	Hair Diseases	C0018500	
Hydrops of gallbladder	C0152445	Gall Bladder Diseases	C0016977	
Obstruction of gallbladder	C0156214	Gall Bladder Diseases	C0016977	
Biliary Dyskinesia	C0005416	Gall Bladder Diseases	C0016977	
Cholecystolithiasis	C0947622	Gall Bladder Diseases	C0016977	
Cholesterolosis of gallbladder	C0152456	Gall Bladder Diseases	C0016977	
Calculus of bile duct without mention of cholecystitis	C0006739	Gall Bladder Diseases	C0016977	
Cholesteatoma	C0008373	Keratosis	C0022593	
Porokeratosis, Disseminated Superficial Actinic	C0265970	Keratosis	C0022593	
Palmoplantar Keratosis	C0022596	Keratosis	C0022593	
Keratosis Follicularis	C0022595	Keratosis	C0022593	
Acquired keratoderma	C0022581	Keratosis	C0022593	
Camurati-Engelmann Syndrome	C0011989	Osteosclerosis	C0029464	
Melorheostosis	C0025239	Osteosclerosis	C0029464	
Osteopetrosis	C0029454	Osteosclerosis	C0029464	
Osteopoikilosis (disorder)	C0029455	Osteosclerosis	C0029464	
Osteopathia striata cranial sclerosis	C0432268	Osteosclerosis	C0029464	
Duodenogastric Reflux	C0013299	Duodenal Diseases	C0013289	
Duodenal Obstruction	C0013292	Duodenal Diseases	C0013289	
Duodenal Cancer	C0541912	Duodenal Diseases	C0013289	
Rectal Prolapse	C0034888	Rectal Diseases	C0034882	
Anus Diseases	C0003462	Rectal Diseases	C0034882	
Proctitis	C0033246	Rectal Diseases	C0034882	
Ulcer of anus and rectum	C0400832	Rectal Diseases	C0034882	
Colon Cavernous Hemangioma	C1333086	Colonic Diseases	C0009373	
Colonic Diseases, Functional	C0009374	Colonic Diseases	C0009373	
Colonic Neoplasms	C0009375	Colonic Diseases	C0009373	
Sigmoid Diseases	C0037072	Colonic Diseases	C0009373	
Infection due to Group C Shigella	C0302360	Colonic Diseases	C0009373	
Megacolon	C0025160	Colonic Diseases	C0009373	
Functional diarrhea	C0156173	Colonic Diseases	C0009373	
Colon Leiomyoma	C1333092	Colonic Diseases	C0009373	
Intestinal Pseudo-Obstruction	C0021847	Colonic Diseases	C0009373	
Acute pyelonephritis	C0520575	Pyelonephritis	C0034186	
Chronic pyelonephritis	C0085697	Pyelonephritis	C0034186	
Lesion of radial nerve	C0154744	Radial Neuropathy	C0748226	
Necrotizing fasciitis	C0238124	Fasciitis	C0015645	
Ischemic fasciitis	C1304514	Fasciitis	C0015645	
Fasciitis, Plantar	C0149756	Fasciitis	C0015645	
Proliferative fasciitis	C0432528	Fasciitis	C0015645	
Nodular fasciitis	C0410005	Fasciitis	C0015645	
Familial Partial Lipodystrophy, Type 1	C1720859	Familial Partial Lipodystrophy, Type 3	C1720861	
Elephantiasis	C0013882	Lymphedema	C0024236	
Hereditary edema of legs	C1313885	Lymphedema	C0024236	
Hyperparathyroidism	C0020502	Parathyroid Diseases	C0030517	
Hypoparathyroidism	C0020626	Parathyroid Diseases	C0030517	
Carnitine palmitoyl transferase 2 deficiency	C0342790	Lipid Metabolism, Inborn Errors	C0023772	
Chylomicron retention disease	C0795956	Lipid Metabolism, Inborn Errors	C0023772	
Trifunctional Protein Deficiency With Myopathy And Neuropathy	C1969443	Lipid Metabolism, Inborn Errors	C0023772	
Carnitine-Acylcarnitine Translocase Deficiency	C0342791	Lipid Metabolism, Inborn Errors	C0023772	
MEND SYNDROME	C4085243	Lipid Metabolism, Inborn Errors	C0023772	
CK syndrome	C3151781	Lipid Metabolism, Inborn Errors	C0023772	
Refsum Disease	C0034960	Lipid Metabolism, Inborn Errors	C0023772	
Hyperlipoproteinemias	C0020476	Lipid Metabolism, Inborn Errors	C0023772	
Hypolipoproteinemias	C0020623	Lipid Metabolism, Inborn Errors	C0023772	
Lipoid Proteinosis of Urbach and Wiethe	C0023795	Lipid Metabolism, Inborn Errors	C0023772	
Smith-Lemli-Opitz Syndrome	C0175694	Lipid Metabolism, Inborn Errors	C0023772	
Steroid Metabolism, Inborn Errors	C1257809	Lipid Metabolism, Inborn Errors	C0023772	
Cholangitis	C0008311	Bile Duct Diseases	C0005395	
Choledochal Cyst	C0008340	Bile Duct Diseases	C0005395	
Bile duct cystadenoma	C0334285	Bile Duct Diseases	C0005395	
leiomyoma of extrahepatic bile duct	C1333507	Bile Duct Diseases	C0005395	
Common Bile Duct Diseases	C0009440	Bile Duct Diseases	C0005395	
Cholestasis	C0008370	Bile Duct Diseases	C0005395	
lipoma of extrahepatic bile duct	C1333509	Bile Duct Diseases	C0005395	
Neoplasm of ampulla of Vater	C0345916	Bile Duct Diseases	C0005395	
Caroli Disease	C0162510	Bile Duct Diseases	C0005395	
Mineralocorticoid Excess Syndrome, Apparent	C0342488	Steroid Metabolism, Inborn Errors	C1257809	
Adrenogenital disorder	C0701163	Steroid Metabolism, Inborn Errors	C1257809	
Hypothalamic Diseases	C0020655	Thalamic Diseases	C0039726	
Postcholecystectomy Syndrome	C0152099	Biliary Tract Diseases	C0005424	
Bile Duct Diseases	C0005395	Biliary Tract Diseases	C0005424	
Bile Duct Perforation	C0156218	Biliary Tract Diseases	C0005424	
Bile Reflux	C0005403	Biliary Tract Diseases	C0005424	
Extrahepatic Bile Duct Neoplasm	C0345913	Biliary Tract Diseases	C0005424	
Primary hyperoxaluria type III	C3150878	Primary Hyperoxaluria	C0020501	
Primary hyperoxaluria type 2	C0268165	Primary Hyperoxaluria	C0020501	
Primary hyperoxaluria, type I	C0268164	Primary Hyperoxaluria	C0020501	
Hepatolenticular Degeneration	C0019202	Metal Metabolism, Inborn Errors	C0025534	
Pseudohypoparathyroidism	C0033806	Metal Metabolism, Inborn Errors	C0025534	
Hemochromatosis	C0018995	Metal Metabolism, Inborn Errors	C0025534	
Menkes Kinky Hair Syndrome	C0022716	Metal Metabolism, Inborn Errors	C0025534	
Familial Periodic Paralysis	C0030443	Metal Metabolism, Inborn Errors	C0025534	
Cutis laxa, x-linked	C0268353	Metal Metabolism, Inborn Errors	C0025534	
Acrodysostosis	C0220659	Dysostoses	C0013393	
congenital abnormal synostosis	C0039093	Dysostoses	C0013393	
Patella aplasia, coxa vara, tarsal synostosis	C1868581	Dysostoses	C0013393	
LAURIN-SANDROW SYNDROME	C1851100	Dysostoses	C0013393	
Acrofrontofacionasal dysostosis syndrome	C1860118	Dysostoses	C0013393	
Galactosemias	C0016952	Carbohydrate Metabolism, Inborn Errors	C0007001	
Hereditary fructose intolerance syndrome	C0016751	Carbohydrate Metabolism, Inborn Errors	C0007001	
Congenital Disorders of Glycosylation	C0282577	Carbohydrate Metabolism, Inborn Errors	C0007001	
Fructose-1	6-Diphosphatase Deficiency	C0016756	Carbohydrate Metabolism, Inborn Errors	C0007001
Glucose Metabolism Disorders	C1257958	Carbohydrate Metabolism, Inborn Errors	C0007001	
Pyruvate Carboxylase Deficiency Disease	C0034341	Carbohydrate Metabolism, Inborn Errors	C0007001	
Pyruvate Dehydrogenase Complex Deficiency Disease	C0034345	Carbohydrate Metabolism, Inborn Errors	C0007001	
Primary Hyperoxaluria	C0020501	Carbohydrate Metabolism, Inborn Errors	C0007001	
Deficiency of glucose-6-phosphate dehydrogenase	C2939465	Carbohydrate Metabolism, Inborn Errors	C0007001	
Lactose Intolerance	C0022951	Carbohydrate Metabolism, Inborn Errors	C0007001	
Deficiency of fructokinase	C0268160	Carbohydrate Metabolism, Inborn Errors	C0007001	
Lactase Deficiency, Congenital	C0268179	Carbohydrate Metabolism, Inborn Errors	C0007001	
Sucrase-isomaltase deficiency, congenital	C1283620	Carbohydrate Metabolism, Inborn Errors	C0007001	
Avellino corneal dystrophy	C1275685	Granular Dystrophy, Corneal	C0018179	
Crohn's disease of large bowel	C0156147	Crohn's disease of large bowel	C0156147	
Ileitis	C0020877	Crohn's disease of large bowel	C0156147	
Eczema Herpeticum	C0936250	Herpes simplex infection	C0019348	
Genital Herpes	C0019342	Herpes simplex infection	C0019348	
Herpetic whitlow	C0153042	Herpes simplex infection	C0019348	
Chronic inflammation of lacrimal passage	C0155239	Lacrimal Apparatus Diseases	C0022904	
Dacryoadenitis	C0155223	Lacrimal Apparatus Diseases	C0022904	
Acute inflammation of lacrimal passages	C0339129	Lacrimal Apparatus Diseases	C0022904	
Stenosis of lacrimal sac	C0155246	Lacrimal Apparatus Diseases	C0022904	
Secondary lacrimal atrophy	C0339121	Lacrimal Apparatus Diseases	C0022904	
Primary lacrimal atrophy	C0155229	Lacrimal Apparatus Diseases	C0022904	
Lacrimal Duct Obstruction	C0022906	Lacrimal Apparatus Diseases	C0022904	
Excessive tearing	C0152227	Lacrimal Apparatus Diseases	C0022904	
Acquired stenosis of nasolacrimal duct	C0155248	Lacrimal Apparatus Diseases	C0022904	
Stenosis of lacrimal canaliculi	C0155245	Lacrimal Apparatus Diseases	C0022904	
Stenosis of lacrimal punctum	C0155244	Lacrimal Apparatus Diseases	C0022904	
Eversion of lacrimal punctum	C0155243	Lacrimal Apparatus Diseases	C0022904	
Dislocation of lacrimal gland	C0155231	Lacrimal Apparatus Diseases	C0022904	
Lacrimal passage granuloma	C0155253	Lacrimal Apparatus Diseases	C0022904	
Dry Eye Syndromes	C0013238	Lacrimal Apparatus Diseases	C0022904	
Skin Diseases, Vascular	C0162819	Skin Diseases, Genetic	C0037277	
Pityriasis Rubra Pilaris	C0032027	Skin Diseases, Genetic	C0037277	
Other acne	C0029485	Skin Diseases, Genetic	C0037277	
Erythematosquamous dermatosis	C0014747	Skin Diseases, Genetic	C0037277	
Staphylococcal Scalded Skin Syndrome	C0038165	Skin Diseases, Genetic	C0037277	
Stevens-Johnson Syndrome	C0038325	Skin Diseases, Genetic	C0037277	
Leukokeratosis, Hereditary Mucosal	C1721005	Skin Diseases, Genetic	C0037277	
Greither Disease	C1851480	Skin Diseases, Genetic	C0037277	
Ichthyosis linearis circumflexa	C0265962	Skin Diseases, Genetic	C0037277	
Exanthema	C0015230	Skin Diseases, Genetic	C0037277	
Brooke-Spiegler syndrome	C1857941	Skin Diseases, Genetic	C0037277	
Lethal tight skin contracture syndrome (disorder)	C0406585	Skin Diseases, Genetic	C0037277	
GIANT PIGMENTED HAIRY NEVUS	C1842036	Skin Diseases, Genetic	C0037277	
Isolated hyperchlorhidrosis	C1840437	Skin Diseases, Genetic	C0037277	
Stiff Skin Syndrome	C1861456	Skin Diseases, Genetic	C0037277	
Other dyschromia	C0375489	Skin Diseases, Genetic	C0037277	
Mansonelliasis	C0024759	Skin Diseases, Genetic	C0037277	
Cutaneous schistosomiasis	C0546996	Skin Diseases, Genetic	C0037277	
Filarial Elephantiases	C0013884	Skin Diseases, Genetic	C0037277	
Porphyria, Erythropoietic	C0162530	Skin Diseases, Genetic	C0037277	
Cutaneous sarcoidosis	C0036203	Skin Diseases, Genetic	C0037277	
Chancroid	C0007947	Skin Diseases, Genetic	C0037277	
Sweat Gland Diseases	C0038986	Skin Diseases, Genetic	C0037277	
Panniculitis	C0030326	Skin Diseases, Genetic	C0037277	
Other specified urticaria	C0029839	Skin Diseases, Genetic	C0037277	
Angioedema	C0002994	Skin Diseases, Genetic	C0037277	
Dermatomycoses	C0011630	Skin Diseases, Genetic	C0037277	
Keratosis	C0022593	Skin Diseases, Genetic	C0037277	
Cherubism	C0008029	Skin Diseases, Genetic	C0037277	
Reactive Cutaneous Fibrous Lesion	C1335666	Skin Diseases, Genetic	C0037277	
Dermatitis	C0011603	Skin Diseases, Genetic	C0037277	
Dyskeratosis Congenita	C0265965	Skin Diseases, Genetic	C0037277	
Rothmund-Thomson syndrome	C0032339	Skin Diseases, Genetic	C0037277	
Atrophic condition of skin	C0151514	Skin Diseases, Genetic	C0037277	
Facial Dermatoses	C0015456	Skin Diseases, Genetic	C0037277	
Scalp Dermatoses	C0036271	Skin Diseases, Genetic	C0037277	
Scleredema Adultorum	C0036413	Skin Diseases, Genetic	C0037277	
Leg Dermatoses	C0023219	Skin Diseases, Genetic	C0037277	
Cutis Laxa	C0010495	Skin Diseases, Genetic	C0037277	
Lipomatosis	C0023801	Skin Diseases, Genetic	C0037277	
Incontinentia Pigmenti Achromians	C0022283	Skin Diseases, Genetic	C0037277	
Hand Dermatoses	C0018567	Skin Diseases, Genetic	C0037277	
Necrobiosis Lipoidica	C0027538	Skin Diseases, Genetic	C0037277	
Cutaneous Mastocytosis	C1136033	Skin Diseases, Genetic	C0037277	
Mongolian Spot	C0265985	Skin Diseases, Genetic	C0037277	
Eyelid Diseases	C0015423	Skin Diseases, Genetic	C0037277	
Verruciform xanthoma of skin	C0346054	Skin Diseases, Genetic	C0037277	
Paroxysmal hematoma of the finger	C0473563	Skin Diseases, Genetic	C0037277	
Kimura Disease	C0033838	Skin Diseases, Genetic	C0037277	
Chronic skin ulcer	C0157738	Skin Diseases, Genetic	C0037277	
Lichen disease	C0023643	Skin Diseases, Genetic	C0037277	
Rosacea	C0035854	Skin Diseases, Genetic	C0037277	
Hemosiderosis	C0019114	Iron Metabolism Disorders	C0012715	
Purpura, Hyperglobulinemic	C0034151	Purpura	C0034150	
Allergy to ketoprofen	C0570547	Dermatitis, Photoallergic	C0162824	
Sea-Blue Histiocyte Syndrome	C0036489	Sphingolipidoses	C0037899	
Gangliosidoses	C0017083	Sphingolipidoses	C0037899	
Gaucher Disease	C0017205	Sphingolipidoses	C0037899	
Niemann-Pick Diseases	C0028064	Sphingolipidoses	C0037899	
Fabry Disease	C0002986	Sphingolipidoses	C0037899	
Globoid cell leukodystrophy	C0023521	Sphingolipidoses	C0037899	
Leukodystrophy, Metachromatic	C0023522	Sphingolipidoses	C0037899	
Sulfatidosis, Juvenile, Austin Type	C1720864	Sphingolipidoses	C0037899	
Holocarboxylase Synthetase Deficiency	C0268581	Multiple Carboxylase Deficiency	C0026755	
Biotinidase Deficiency	C0220754	Multiple Carboxylase Deficiency	C0026755	
Perinatal intestinal perforation	C0159006	Intestinal Perforation	C0021845	
Laryngitis	C0023067	Laryngeal Diseases	C0023051	
Laryngeal neoplasm	C0023055	Laryngeal Diseases	C0023051	
Malignant neoplasm of larynx	C0007107	Laryngeal Diseases	C0023051	
Laryngostenosis	C0023075	Laryngeal Diseases	C0023051	
Congenital laryngomalacia	C0345160	Laryngeal Diseases	C0023051	
Epidermolysis Bullosa	C0014527	Skin Diseases, Vesiculobullous	C0037275	
Disorder of ciliary body	C0271100	Iris Diseases	C0022078	
Iritis	C0022081	Iris Diseases	C0022078	
Exfoliation Syndrome	C0206368	Iris Diseases	C0022078	
Aniridia	C0003076	Iris Diseases	C0022078	
Uremic neuropathy	C0268708	Uremia	C0041948	
Carpal Tunnel Syndrome	C0007286	Entrapment Neuropathies	C1510429	
Other venous embolism & thrombosis	C0155774	Spinal Cord Ischemia	C0752130	
Vasculitis	C0042384	Spinal Cord Ischemia	C0752130	
Intravenous leiomyomatosis	C0346200	Spinal Cord Ischemia	C0752130	
Angiomyoma	C0206653	Spinal Cord Ischemia	C0752130	
Peripheral angiopathy in diseases classified elsewhere	C0031115	Spinal Cord Ischemia	C0752130	
Thoracic Outlet Syndrome	C0039984	Spinal Cord Ischemia	C0752130	
Angiodysplasia	C0085411	Spinal Cord Ischemia	C0752130	
Renal Vein Leiomyosarcoma	C1335753	Spinal Cord Ischemia	C0752130	
Cholesterol Embolism	C0149649	Spinal Cord Ischemia	C0752130	
Disease of capillaries	C0155765	Spinal Cord Ischemia	C0752130	
Hereditary hemorrhagic telangiectasia	C0039445	Spinal Cord Ischemia	C0752130	
Maternal hypotension syndrome, unspecified as to episode of care or not applicable	C0157456	Spinal Cord Ischemia	C0752130	
Vasculopathy, Retinal, With Cerebral Leukodystrophy	C1860518	Spinal Cord Ischemia	C0752130	
Sturge-Weber Syndrome	C0038505	Spinal Cord Ischemia	C0752130	
Other specified causes of urethral stricture	C0029752	Urethral Obstruction	C0041972	
Acute gonococcal prostatitis	C0153192	prostatitis	C0033581	
Tactile Epilepsy	C0393724	Epilepsy, Reflex	C0270857	
Cyclic neutropenia	C0221023	Neutropenia	C0027947	
Transient neonatal neutropenia (disorder)	C0158997	Neutropenia	C0027947	
Granuloma, Lethal Midline	C0018197	Nose Diseases	C0028432	
Disorder of nasal cavity	C0339820	Nose Diseases	C0028432	
Paranasal Sinus Diseases	C0030469	Nose Diseases	C0028432	
Sinus Thrombosis, Intracranial	C0037198	Intracranial Thrombosis	C0752143	
Carotid Artery Thrombosis	C0007274	Intracranial Thrombosis	C0752143	
Pancreatitis	C0030305	Other specified diseases of pancreas	C0029771	
Cystadenoma of pancreas	C0341486	Other specified diseases of pancreas	C0029771	
Malignant neoplasm of other specified sites of pancreas	C0153463	Other specified diseases of pancreas	C0029771	
Other disorders of pancreatic internal secretion	C0154189	Other specified diseases of pancreas	C0029771	
Exocrine pancreatic insufficiency	C0267963	Other specified diseases of pancreas	C0029771	
Pancreatic Mucinous Ductal Ectasia	C1335310	Other specified diseases of pancreas	C0029771	
Pancreatic steatorrhea	C0152166	Other specified diseases of pancreas	C0029771	
Annular pancreas	C0149955	Other specified diseases of pancreas	C0029771	
Autoimmune Pancreatitis	C2609129	Other specified diseases of pancreas	C0029771	
Lupus Erythematosus, Systemic	C0024141	Lupus Erythematosus	C0409974	
Drug-induced lupus erythematosus	C0263591	Lupus Erythematosus	C0409974	
Chronic gonococcal seminal vesiculitis	C0153205	Gonococcal seminal vesiculitis	C0578661	
Gonococcal seminal vesiculitis	C0578661	Gonococcal seminal vesiculitis	C0578661	
Virus Diseases	C0042769	Adenovirus infection in conditions classified elsewhere and of unspecified site	C0001485	
Mycoses	C0026946	Adenovirus infection in conditions classified elsewhere and of unspecified site	C0001485	
Parasitic endophthalmitis	C0014238	Adenovirus infection in conditions classified elsewhere and of unspecified site	C0001485	
Bacterial Infections	C0004623	Adenovirus infection in conditions classified elsewhere and of unspecified site	C0001485	
Disorder of lymph node	C0272394	Lymphatic Diseases	C0024228	
Lymphangitis	C0024225	Lymphatic Diseases	C0024228	
Disease of thymus gland	C0154199	Lymphatic Diseases	C0024228	
Lymphedema	C0024236	Lymphatic Diseases	C0024228	
Lymphocele	C0024248	Lymphatic Diseases	C0024228	
Histiocytosis	C0019618	Lymphatic Diseases	C0024228	
Splenic Diseases	C0037997	Lymphatic Diseases	C0024228	
Hennekam lymphangiectasia-lymphedema syndrome	C0340834	Lymphatic Diseases	C0024228	
Lymphohistiocytosis, Hemophagocytic	C0024291	Lymphatic Diseases	C0024228	
Ethmoid Sinusitis	C0015029	Acute sinusitis	C0149512	
Maxillary Sinusitis	C0024959	Acute sinusitis	C0149512	
Sphenoid Sinusitis	C0037886	Acute sinusitis	C0149512	
Frontal Sinusitis	C0016735	Acute sinusitis	C0149512	
Tinea Versicolor	C0040262	Superficial mycosis	C2980104	
tinea nigra	C0152067	Superficial mycosis	C2980104	
White Piedra	C0040249	Superficial mycosis	C2980104	
Black piedra	C0153249	Superficial mycosis	C2980104	
Nasopharyngeal Diseases	C0027438	Other disease of nasal cavity and sinuses	C0029581	
Acute epiglottitis	C0155814	Other disease of nasal cavity and sinuses	C0029581	
Mucocutaneous leishmaniasis	C1328252	Other disease of nasal cavity and sinuses	C0029581	
Streptococcal sore throat with scarlatina	C0343487	Other disease of nasal cavity and sinuses	C0029581	
Lung diseases	C0024115	Other disease of nasal cavity and sinuses	C0029581	
Laryngeal Diseases	C0023051	Other disease of nasal cavity and sinuses	C0029581	
Tracheal Diseases	C0040580	Other disease of nasal cavity and sinuses	C0029581	
Nose Diseases	C0028432	Other disease of nasal cavity and sinuses	C0029581	
Chronic pharyngitis and nasopharyngitis	C0155824	Other disease of nasal cavity and sinuses	C0029581	
Pleural Diseases	C0032226	Other disease of nasal cavity and sinuses	C0029581	
Bronchial Diseases	C0006261	Other disease of nasal cavity and sinuses	C0029581	
Acute laryngopharyngitis	C0155817	Other disease of nasal cavity and sinuses	C0029581	
Common Cold	C0009443	Other disease of nasal cavity and sinuses	C0029581	
Chronic tonsillitis	C0149517	Other disease of nasal cavity and sinuses	C0029581	
Hypertrophy of adenoids	C0149825	Other disease of nasal cavity and sinuses	C0029581	
Chronic laryngotracheitis	C0155837	Other disease of nasal cavity and sinuses	C0029581	
Chronic adenoiditis	C0396023	Other disease of nasal cavity and sinuses	C0029581	
Croup	C0010380	Other respiratory system diseases	C0029582	
Actinomycosis	C0001261	Other respiratory system diseases	C0029582	
Actinobacillosis	C0001247	Other respiratory system diseases	C0029582	
Asphyxia Neonatorum	C0004045	Other respiratory system diseases	C0029582	
Other disease of nasal cavity and sinuses	C0029581	Other respiratory system diseases	C0029582	
Tuberculosis of ureter	C0152800	Tuberculosis, Urogenital	C0041333	
Tuberculosis of epididymis	C0152814	Tuberculosis, Urogenital	C0041333	
Tuberculous oophoritis and salpingitis	C0152828	Tuberculosis, Urogenital	C0041333	
Hyperkeratosis of the palms and soles and esophageal papillomas	C2931923	Keratosis Palmaris et Plantaris Familiaris	C3489771	
Paraneoplastic pemphigus	C1112570	Pemphigus	C0030807	
IgA pemphigus	C1274167	Pemphigus	C0030807	
Pemphigus Foliaceus	C0263313	Pemphigus	C0030807	
Pemphigus Vulgaris	C0030809	Pemphigus	C0030807	
Familial benign pemphigus	C0085106	Pemphigus	C0030807	
Glycosuria, Renal	C0017980	Renal Tubular Transport, Inborn Errors	C0035091	
Pseudohypoaldosteronism	C0033805	Renal Tubular Transport, Inborn Errors	C0035091	
Bartter Disease	C0004775	Renal Tubular Transport, Inborn Errors	C0035091	
Renal tubular acidosis	C0001126	Renal Tubular Transport, Inborn Errors	C0035091	
Adult Fanconi syndrome	C0341703	Renal Tubular Transport, Inborn Errors	C0035091	
Nephrogenic Syndrome of Inappropriate Antidiuresis	C1845202	Renal Tubular Transport, Inborn Errors	C0035091	
Dent disease 1	C1848336	Renal Tubular Transport, Inborn Errors	C0035091	
Liddle Syndrome	C0221043	Renal Tubular Transport, Inborn Errors	C0035091	
Gitelman Syndrome	C0268450	Renal Tubular Transport, Inborn Errors	C0035091	
Hyperphosphatemia (disorder)	C0085681	Phosphorus Metabolism Disorders	C0031707	
Fatty Liver, Alcoholic	C0015696	Other disorders of lipoid metabolism	C0029591	
Xanthomatosis	C0043325	Other disorders of lipoid metabolism	C0029591	
Sphingolipidoses	C0037899	Other disorders of lipoid metabolism	C0029591	
Neuronal Ceroid-Lipofuscinoses	C0027877	Other disorders of lipoid metabolism	C0029591	
Farber Lipogranulomatosis	C0268255	Other disorders of lipoid metabolism	C0029591	
Candidiasis, Chronic Mucocutaneous	C0006845	Nail Diseases	C0027339	
Candidiasis of skin and nails	C0006842	Nail Diseases	C0027339	
Paronychia (disorder)	C0030578	Nail Diseases	C0027339	
Hereditary lymphedema and yellow nails	C0221348	Nail Diseases	C0027339	
Variola Minor	C0001906	Smallpox	C0037354	
Variola major	C1812609	Smallpox	C0037354	
Oguchi disease	C1306122	Oguchi disease	C1306122	
Diabetic Retinopathy	C0011884	Retinal Vascular Disorder	C0154833	
Retinal telangiectasia	C0154835	Retinal Vascular Disorder	C0154833	
Retinal Microaneurysm	C0154834	Retinal Vascular Disorder	C0154833	
Retinopathy background	C0004608	Retinal Vascular Disorder	C0154833	
Milroy Disease	C1704423	Hereditary edema of legs	C1313885	
Phlebitis	C0031542	Other venous embolism & thrombosis	C0155774	
Varicosity	C0042345	Other venous embolism & thrombosis	C0155774	
Superior Vena Cava Leiomyosarcoma	C1336531	Other venous embolism & thrombosis	C0155774	
Pulmonary Vein Leiomyosarcoma	C1335575	Other venous embolism & thrombosis	C0155774	
Superior Vena Cava Angiosarcoma	C1336530	Other venous embolism & thrombosis	C0155774	
Retinal Vein Occlusion	C0035328	Other venous embolism & thrombosis	C0155774	
Portal vein thrombosis	C0155773	Other venous embolism & thrombosis	C0155774	
Esophageal varices in diseases classified elsewhere, with bleeding	C0155792	Other venous embolism & thrombosis	C0155774	
Venous Insufficiency	C0042485	Other venous embolism & thrombosis	C0155774	
VENOUS MALFORMATIONS, MULTIPLE CUTANEOUS AND MUCOSAL	C1838437	Other venous embolism & thrombosis	C0155774	
Tricuspid Valve Prolapse	C0040962	Rheumatic tricuspid valve disease	C0264776	
Tricuspid Valve Insufficiency	C0040961	Rheumatic tricuspid valve disease	C0264776	
Tricuspid Valve Stenosis	C0040963	Rheumatic tricuspid valve disease	C0264776	
Ebstein Anomaly	C0013481	Rheumatic tricuspid valve disease	C0264776	
Rheumatic disease of mitral valve	C0264765	Heart Valve Prolapse	C0079485	
Pulmonary Valve Disorder	C0034087	Heart Valve Prolapse	C0079485	
Ehlers-Danlos syndrome type 5	C0268341	Heart Valve Prolapse	C0079485	
Rheumatic tricuspid valve disease	C0264776	Heart Valve Prolapse	C0079485	
Selective Immunoglobulin Isotype Deficiency	C1335942	Other selective immunoglobulin deficiencies	C0154276	
Hyperimmunoglobulin Syndrome	C1334069	Other selective immunoglobulin deficiencies	C0154276	
